text,tweet_num,o4mini_label,4o_mini_label,llama_label,qwen_4b_label,o4mini_label_short,4o_mini_label_short,llama_label_short,qwen_4b_label_short,label,o4mini_drug_labels,4o_mini_drug_labels,llama_drug_labels,qwen_4b_drug_labels,found_index_terms,DEA_found_index_terms,pubchem_found_index_terms,GPT_found_index_terms,redmed_found_index_terms
"The guy was hanged in Singapore because he was arrested with 42 grams of heroin.  Here in Brazil, mega dealer André do Rap, arrested with tons of cocaine, was released by the Supreme court !",14,True,True,True,False,T,F,F,T,T,['other'],['other'],"['Cocaine', 'Heroin']",['other'],[],[],[],[],[]
"Ex heroin addict here and I endorse this message.

Also makes me think back to my counselors in rehab who were both 23 year old women who just graduated college with ZERO real life addiction experience 🤯🤯",194,False,False,False,True,T,F,F,T,T,['other'],,['other'],['other'],[],[],[],[],[]
"Yeah, my uncle's GF died a horribly painful, slow death where she was in screaming agony day in and day out despite top levels of morphine for MONTHS after the doctors thought she would die.  I'm horribly afraid my Grandma's about to go through the same thing.",315,False,False,False,False,F,F,F,F,T,['Morphine'],,"['Morphine', 'other']",['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"Innovation drives shift in cannabis product demand, especially around 4/20",361,True,False,False,False,T,F,F,F,T,['Marijuana'],,"['delta‑8‑THC‑COOH', 'delta‑9‑THC‑COOH', 'other', 'CBD']",['Marijuana'],[],[],[],[],[]
"When that codeine had u knocked all day, now ur fever finally breaks and u can't go to sleep!! 😔🙁",378,False,True,True,False,T,T,T,F,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
420 cannabis festival: Weed prepares to host blowout 420 cannabis festival,413,True,True,False,True,F,F,T,T,T,"['other', 'Marijuana']","['other', 'Marijuana']","['Marijuana', 'CBD']",['Marijuana'],['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
"Interpretation: Prosecutors knew for a long time that George Floyd died from a drug overdose but they wanted black people rioting and looting across the country because Democrats plantation supervisors saw political opportunity in the unrest. 
Sick and twisted.",502,False,False,False,False,F,F,F,T,T,,,['other'],['other'],[],[],[],[],[]
"Says he focused on 2 other causes of Floyd's death.

Looked at stronger heart conditions as the primary cause of death.

He also looked at a drug overdose as a potential cause.

But his ultimate finding was that Floyd died by a lack of oxygen triggering a cardiopulmonary arrest.",591,False,False,False,False,F,F,F,T,T,,,['other'],['other'],[],[],[],[],[]
"First one and the third one the best. Love the actress that playes the """"""drug dealer"""""" one in the first and third",634,False,False,False,False,F,F,F,T,T,,['other'],['other'],['other'],[],[],[],[],[]
"These numbers equate to more than one overdose each day, and it's not uncommon for the same people to overdose again and again. In these first three months of 2021, we have responded to another 136 overdoses and within the same time period.",672,False,False,False,False,F,F,F,F,T,,,['other'],,['fentanyl'],[],[],[],[]
And they're no longer saying X passed from an OD. The sister and fam said he got the vaccine and had a heart attack😩 I didn't feel it was OD related. Reports no longer include overdose. Still sucks🥲,686,False,False,False,False,F,F,F,T,T,,,['other'],['other'],[],[],[],[],[]
i would die twist snap crack shake ANYTHING TO HAVE HIM RELEASE THIS.,698,False,False,True,True,F,T,F,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
Long Covid's many and varying symptoms make it challenging to study. Can unleashing AI on real-world patient data crack the code?  reports:,756,False,False,False,False,F,F,F,F,F,,,['other'],['other'],[],[],[],[],[]
Im on Ocean Drive sipin' codeine w the top down 🏍,990,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"I seen her in my dream, fell in love with codeine",1058,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Uh let me get a caesar salad, please, with croutons and codeine dressing, and a diet codeine. On a codeine diet. I get all that shit,",1170,True,True,True,True,T,T,T,T,F,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
New 'fraud squad' will crack down on criminals who steal taxpayer money -,1219,False,False,False,False,F,F,F,F,F,,,['other'],,[],[],[],[],[]
"IMHO adults should be able to buy quality, tested, clean cocaine & heroin & LSD from drug stores. What's in that, fentanyl? Nope, check the label. Prohibition is a crime & every substance should be legal. I'm moderate on a lot of stuff (serious!) but I'm hardcore on legalization.",1233,True,True,True,True,T,T,T,T,T,"['Fentanyl', 'LSD', 'other']","['Heroin', 'LSD', 'Fentanyl', 'other']","['Fentanyl', 'LSD', 'Heroin', 'Cocaine']","['Fentanyl', 'LSD', 'other']","['fentanyl', 'methamphetamine', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']"
"When I were growing up all we had for brekkie was an intravenous injection of morphine, and had only a penguin in the Gobi to look forward to for supper!",1245,True,True,False,False,T,T,T,T,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],"['fentanyl', 'morphine']",['morphine'],['morphine'],"['fentanyl', 'morphine']",['morphine']
U one of them niggas that don't believe shit he died from overdose,1302,True,True,True,True,F,T,T,T,T,,,['Fentanyl'],['other'],[],[],[],[],[]
"I was so uptight I thought I might overdose if I did that. Man, I was a stupid kid...",1489,True,True,True,False,F,T,F,T,T,,,['other'],,[],[],[],[],[]
Kept her in. Excruciating pain after eating. Gave her more codeine. IV fluids. Review in the morning. Just home xxx,1500,False,True,False,False,F,F,T,F,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
someone buy me cough syrup with codeine and promethazine in it yuuuurt,1516,True,True,True,True,T,T,T,T,T,"['other', 'Codeine']",['Codeine'],['Codeine'],"['other', 'Codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Top 🇺🇸 #SocialMedia Obsession:

❶ Sex

❷ Drugs

❸ Overdose

❹ Dead People

❺ Previously, Trump

❻ Now, Anything Stupid

❼ As Catastrophized by Media;

❽ Mass Shootings & Empty ""Gun Reform"" Talk

❾ GQP & Extreme Left's Toxic/Anti-Democratic Antics🔴",1538,False,False,True,True,F,F,F,T,F,['other'],,['other'],['other'],[],[],[],[],[]
"I was not the one that worked it out. 
Tim found the Wiki claimed overdose amount.
Tim compared that to the court medical expert claimed amount in Floyd's blood.

I would hope, the wiki was right and the expert had taken into account Floyd's body mass.",1660,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
Mike Tyson is Heading to Hippie Hill for 4/20,1780,True,False,True,True,T,F,F,F,T,['Marijuana'],,['other'],['Marijuana'],[],[],[],[],[]
"Why Chauvin continued to apply that level of force, even when Floyd was motionless? Why didn't he administer the required drug for the apparent drug overdose? Why didn't he inform the paramedic that the suspect had apparently overdosed . . . ?",1867,False,False,False,False,F,F,F,F,T,,,['other'],['other'],[],[],[],[],[]
It didn't make me as sick as the Morphine ER and actually got paired with because of how sick I was getting. THC would let me eat and not feel as sick to my stomach. It was low dose like 2.5 but also helped some with pain. I actually would skip a few doses of harder stuff.,1900,True,False,True,True,F,T,F,T,T,"['Morphine', 'other']","['Morphine', 'delta‑9‑THC‑COOH', 'other']","['Morphine', 'THC']","['Morphine', 'Marijuana']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"oooh i'm still learning their names, but i think go eun, ireh, and swan are potential biases!! and dosie rly stood out to me in the overdose cover (WHICH WAS SO GOOD)! who's yours?? :)",1961,False,False,False,True,F,F,F,F,T,,,['other'],['other'],[],[],[],[],[]
It's so easy to judge a drug overdose without hearing the whole truth...... someone close to x lacing his weed w/ crack is nuts to me 💔.,2086,True,True,True,True,T,T,T,T,T,"['other', 'Marijuana']","['other', 'Marijuana']","['Cocaine', 'Cannabidiol']","['other', 'Marijuana']",['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
"We are in the 305! Come down to our booth and meet the team.🌿 Upwise Capital is in Miami Beach, Florida Exhibiting at the Benzinga Cannabis Capital Conference from April 20th-21st at the Gorgeous Fontain Bleau Hotel Make your way to our booth #S9.",2122,False,False,False,False,F,F,F,F,T,['Marijuana'],,"['other', 'CBD']",['Marijuana'],[],[],[],[],[]
Oh so maybe it explains why people before died: look  as wake 👀? But how about feeling nerved nerve system ?  Does it work in a way that causes pain relief or is it more inclined to feel pain more clearly?  because most cancer patients take morphine for pain relief??,2228,False,False,False,False,F,F,F,F,F,['Morphine'],,"['Morphine', 'other']",['Morphine'],"['oxymorphone', 'morphine']",['morphine'],['morphine'],"['oxymorphone', 'morphine']",['morphine']
This is clear...let's not crack our heads.,2276,False,False,False,False,F,F,F,T,F,['other'],['other'],['other'],['Cocaine'],['methamphetamine'],['methamphetamine'],[],[],[]
Im on ocean drive sipping codeine with the top down,2296,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"life you can't reject. capitalism injects a morphine called 'hope' as collateral for dreams.

› strange",2304,False,False,True,False,F,F,F,F,T,['Morphine'],,"['Morphine', 'other']",['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
going to do another itzy album review bc listening to them is like shooting up morphine,2329,True,True,True,True,F,F,T,F,F,['Morphine'],"['Morphine', 'other']","['Morphine', 'other']",['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"Cannabis is the real life saver in the United States, not capitalism that makes people want to suicide more severely.",2494,True,False,True,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
